Corr,X,Y
3,595065.076,1669536
3,595065.197,1669535.007
3,595065.318,1669534.015
3,595065.44,1669533.022
3,595065.561,1669532.03
3,595065.682,1669531.037
3,595065.803,1669530.044
3,595065.925,1669529.052
3,595066.046,1669528.059
3,595066.167,1669527.066
3,595066.289,1669526.074
3,595066.41,1669525.081
3,595066.531,1669524.089
3,595066.653,1669523.096
3,595066.774,1669522.103
3,595066.895,1669521.111
3,595067.017,1669520.118
3,595067.138,1669519.126
3,595067.259,1669518.133
3,595067.381,1669517.14
3,595067.502,1669516.148
3,595067.623,1669515.155
3,595067.745,1669514.163
3,595067.866,1669513.17
3,595067.987,1669512.177
3,595068.109,1669511.185
3,595068.23,1669510.192
3,595068.351,1669509.199
3,595068.472,1669508.207
3,595068.594,1669507.214
3,595068.715,1669506.222
3,595068.836,1669505.229
3,595068.958,1669504.236
3,595069.079,1669503.244
3,595069.2,1669502.251
3,595069.322,1669501.259
3,595069.443,1669500.266
3,595069.564,1669499.273
3,595069.686,1669498.281
3,595069.807,1669497.288
3,595069.928,1669496.295
3,595070.05,1669495.303
3,595070.171,1669494.31
3,595070.292,1669493.318
3,595070.414,1669492.325
3,595070.535,1669491.332
3,595070.656,1669490.34
3,595070.778,1669489.347
3,595070.899,1669488.355
3,595071.02,1669487.362
3,595071.142,1669486.369
3,595071.263,1669485.377
3,595071.384,1669484.384
3,595071.505,1669483.391
3,595071.627,1669482.399
3,595071.748,1669481.406
3,595071.869,1669480.414
3,595071.991,1669479.421
3,595072.112,1669478.428
3,595072.233,1669477.436
3,595072.355,1669476.443
3,595072.476,1669475.451
3,595072.597,1669474.458
3,595072.719,1669473.465
3,595072.84,1669472.473
3,595072.961,1669471.48
3,595073.083,1669470.488
3,595073.204,1669469.495
3,595073.325,1669468.502
3,595073.447,1669467.51
3,595073.568,1669466.517
3,595073.689,1669465.524
3,595073.811,1669464.532
3,595073.932,1669463.539
3,595074.053,1669462.547
3,595074.175,1669461.554
3,595074.296,1669460.561
3,595074.417,1669459.569
3,595074.538,1669458.576
3,595074.66,1669457.584
3,595074.781,1669456.591
3,595074.902,1669455.598
3,595075.024,1669454.606
3,595075.145,1669453.613
3,595075.266,1669452.62
3,595075.388,1669451.628
3,595075.509,1669450.635
3,595075.63,1669449.643
3,595075.752,1669448.65
3,595075.873,1669447.657
3,595075.994,1669446.665
3,595076.116,1669445.672
3,595076.237,1669444.68
3,595076.358,1669443.687
3,595076.48,1669442.694
3,595076.601,1669441.702
3,595076.722,1669440.709
3,595076.844,1669439.716
3,595076.965,1669438.724
3,595077.086,1669437.731
3,595077.207,1669436.739
3,595077.329,1669435.746
3,595077.45,1669434.753
3,595077.571,1669433.761
3,595077.693,1669432.768
3,595077.814,1669431.776
3,595077.935,1669430.783
3,595078.057,1669429.79
3,595078.178,1669428.798
3,595078.299,1669427.805
3,595078.421,1669426.813
3,595078.542,1669425.82
3,595078.663,1669424.827
3,595078.785,1669423.835
3,595078.906,1669422.842
3,595079.027,1669421.849
3,595079.149,1669420.857
3,595079.27,1669419.864
3,595079.391,1669418.872
3,595079.513,1669417.879
3,595079.634,1669416.886
3,595079.755,1669415.894
3,595079.877,1669414.901
3,595079.998,1669413.909
3,595080.119,1669412.916
3,595080.24,1669411.923
3,595080.362,1669410.931
3,595080.483,1669409.938
3,595080.604,1669408.945
3,595080.726,1669407.953
3,595080.847,1669406.96
3,595080.968,1669405.968
3,595081.09,1669404.975
3,595081.211,1669403.982
3,595081.332,1669402.99
3,595081.454,1669401.997
3,595081.575,1669401.005
3,595081.696,1669400.012
3,595081.818,1669399.019
3,595081.939,1669398.027
3,595082.06,1669397.034
3,595082.182,1669396.041
3,595082.303,1669395.049
3,595082.424,1669394.056
3,595082.546,1669393.064
3,595082.667,1669392.071
3,595082.788,1669391.078
3,595082.91,1669390.086
3,595083.031,1669389.093
3,595083.152,1669388.101
3,595083.273,1669387.108
3,595083.395,1669386.115
3,595083.516,1669385.123
3,595083.637,1669384.13
3,595083.759,1669383.138
3,595083.88,1669382.145
3,595084.001,1669381.152
3,595084.123,1669380.16
3,595084.244,1669379.167
3,595084.365,1669378.174
3,595084.487,1669377.182
3,595084.608,1669376.189
3,595084.729,1669375.197
3,595084.851,1669374.204
3,595084.913,1669373.691
3,595085.1,1669372.708
3,595085.288,1669371.726
3,595085.475,1669370.744
3,595085.662,1669369.761
3,595085.849,1669368.779
3,595086.036,1669367.797
3,595086.223,1669366.814
3,595086.41,1669365.832
3,595086.597,1669364.85
3,595086.784,1669363.867
3,595086.972,1669362.885
3,595087.159,1669361.903
3,595087.346,1669360.92
3,595087.533,1669359.938
3,595087.72,1669358.956
3,595087.907,1669357.973
3,595088.094,1669356.991
3,595088.281,1669356.009
3,595088.468,1669355.026
3,595088.656,1669354.044
3,595088.843,1669353.062
3,595089.03,1669352.079
3,595089.217,1669351.097
3,595089.404,1669350.115
3,595089.591,1669349.132
3,595089.778,1669348.15
3,595089.965,1669347.168
3,595090.152,1669346.185
3,595090.34,1669345.203
3,595090.527,1669344.221
3,595090.714,1669343.238
3,595090.901,1669342.256
3,595091.088,1669341.274
3,595091.275,1669340.291
3,595091.462,1669339.309
3,595091.649,1669338.327
3,595091.836,1669337.344
3,595092.024,1669336.362
3,595092.181,1669335.534
3,595092.61,1669334.631
3,595093.039,1669333.728
3,595093.468,1669332.825
3,595093.897,1669331.921
3,595094.326,1669331.018
3,595094.756,1669330.115
3,595095.185,1669329.212
3,595095.614,1669328.308
3,595096.043,1669327.405
3,595096.472,1669326.502
3,595096.901,1669325.598
3,595097.33,1669324.695
3,595097.759,1669323.792
3,595098.188,1669322.889
3,595098.617,1669321.985
3,595099.046,1669321.082
3,595099.475,1669320.179
3,595099.904,1669319.275
3,595100.333,1669318.372
3,595100.762,1669317.469
3,595101.191,1669316.566
3,595101.62,1669315.662
3,595102.05,1669314.759
3,595102.479,1669313.856
3,595102.908,1669312.953
3,595103.337,1669312.049
3,595103.766,1669311.146
3,595104.195,1669310.243
3,595104.624,1669309.339
3,595105.053,1669308.436
3,595105.482,1669307.533
3,595105.911,1669306.63
3,595106.34,1669305.726
3,595106.769,1669304.823
3,595107.198,1669303.92
3,595107.627,1669303.017
3,595108.056,1669302.113
3,595108.485,1669301.21
3,595108.914,1669300.307
3,595109.343,1669299.403
3,595109.773,1669298.5
3,595110.202,1669297.597
3,595110.631,1669296.694
3,595111.06,1669295.79
3,595111.489,1669294.887
3,595111.918,1669293.984
3,595112.347,1669293.08
3,595112.776,1669292.177
3,595113.205,1669291.274
3,595113.634,1669290.371
3,595114.063,1669289.467
3,595114.492,1669288.564
3,595114.921,1669287.661
3,595115.35,1669286.758
3,595115.779,1669285.854
3,595116.208,1669284.951
3,595116.637,1669284.048
3,595117.066,1669283.144
3,595117.496,1669282.241
