1,192
0,2,193
1,3,194
2,4,195
3,5,196
4,6,197
5,7,198
6,8,199
7,9,200
8,10,201
9,11,202
10,12,203
11,13,204
12,14,205
13,15,206
14,16,207
15,17,208
16,18,209
17,19,210
18,20,211
19,21,212
20,22,213
21,23,214
22,24,215
23,25,216
24,26,217
25,27,218
26,28,219
27,29,220
28,30,221
29,31,222
30,32,223
31,33,224
32,34,225
33,35,226
34,36,227
35,37,228
36,38,229
37,39,230
38,40,231
39,41,232
40,42,233
41,43,234
42,44,235
43,45,236
44,46,237
45,47,238
46,48,239
47,49,240
48,50,241
49,51,242
50,52,243
51,53,244
52,54,245
53,55,246
54,56,247
55,57,248
56,58,249
57,59,250
58,60,251
59,61,252
60,62,253
61,63,254
62,64,255
63,65,256
64,66,257
65,67,258
66,68,259
67,69,260
68,70,261
69,71,262
70,72,263
71,73,264
72,74,265
73,75,266
74,76,267
75,77,268
76,78,269
77,79,270
78,80,271
79,81,272
80,82,273
81,83,274
82,84,275
83,85,276
84,86,277
85,87,278
86,88,279
87,89,280
88,90,281
89,91,282
90,92,283
91,93,284
92,94,285
93,95,286
94,96,287
95,97,288
96,98,289
97,99,290
98,100,291
99,101,292
100,102,293
101,103,294
102,104,295
103,105,296
104,106,297
105,107,298
106,108,299
107,109,300
108,110,301
109,111,302
110,112,303
111,113,304
112,114,305
113,115,306
114,116,307
115,117,308
116,118,309
117,119,310
118,120,311
119,121,312
120,122,313
121,123,314
122,124,315
123,125,316
124,126,317
125,127,318
126,128,319
127,129,320
128,130,321
129,131,322
130,132,323
131,133,324
132,134,325
133,135,326
134,136,327
135,137,328
136,138,329
137,139,330
138,140,331
139,141,332
140,142,333
141,143,334
142,144,335
143,145,336
144,146,337
145,147,338
146,148,339
147,149,340
148,150,341
149,151,342
150,152,343
151,153,344
152,154,345
153,155,346
154,156,347
155,157,348
156,158,349
157,159,350
158,160,351
159,161,352
160,162,353
161,163,354
162,164,355
163,165,356
164,166,357
165,167,358
166,168,359
167,169,360
168,170,361
169,171,362
170,172,363
171,173,364
172,174,365
173,175,366
174,176,367
175,177,368
176,178,369
177,179,370
178,180,371
179,181,372
180,182,373
181,183,374
182,184,375
183,185,376
184,186,377
185,187,378
186,188,379
187,189,380
188,190,381
189,191,382
190,383
193,0,384
192,194,1,385
193,195,2,386
194,196,3,387
195,197,4,388
196,198,5,389
197,199,6,390
198,200,7,391
199,201,8,392
200,202,9,393
201,203,10,394
202,204,11,395
203,205,12,396
204,206,13,397
205,207,14,398
206,208,15,399
207,209,16,400
208,210,17,401
209,211,18,402
210,212,19,403
211,213,20,404
212,214,21,405
213,215,22,406
214,216,23,407
215,217,24,408
216,218,25,409
217,219,26,410
218,220,27,411
219,221,28,412
220,222,29,413
221,223,30,414
222,224,31,415
223,225,32,416
224,226,33,417
225,227,34,418
226,228,35,419
227,229,36,420
228,230,37,421
229,231,38,422
230,232,39,423
231,233,40,424
232,234,41,425
233,235,42,426
234,236,43,427
235,237,44,428
236,238,45,429
237,239,46,430
238,240,47,431
239,241,48,432
240,242,49,433
241,243,50,434
242,244,51,435
243,245,52,436
244,246,53,437
245,247,54,438
246,248,55,439
247,249,56,440
248,250,57,441
249,251,58,442
250,252,59,443
251,253,60,444
252,254,61,445
253,255,62,446
254,256,63,447
255,257,64,448
256,258,65,449
257,259,66,450
258,260,67,451
259,261,68,452
260,262,69,453
261,263,70,454
262,264,71,455
263,265,72,456
264,266,73,457
265,267,74,458
266,268,75,459
267,269,76,460
268,270,77,461
269,271,78,462
270,272,79,463
271,273,80,464
272,274,81,465
273,275,82,466
274,276,83,467
275,277,84,468
276,278,85,469
277,279,86,470
278,280,87,471
279,281,88,472
280,282,89,473
281,283,90,474
282,284,91,475
283,285,92,476
284,286,93,477
285,287,94,478
286,288,95,479
287,289,96,480
288,290,97,481
289,291,98,482
290,292,99,483
291,293,100,484
292,294,101,485
293,295,102,486
294,296,103,487
295,297,104,488
296,298,105,489
297,299,106,490
298,300,107,491
299,301,108,492
300,302,109,493
301,303,110,494
302,304,111,495
303,305,112,496
304,306,113,497
305,307,114,498
306,308,115,499
307,309,116,500
308,310,117,501
309,311,118,502
310,312,119,503
311,313,120,504
312,314,121,505
313,315,122,506
314,316,123,507
315,317,124,508
316,318,125,509
317,319,126,510
318,320,127,511
319,321,128,512
320,322,129,513
321,323,130,514
322,324,131,515
323,325,132,516
324,326,133,517
325,327,134,518
326,328,135,519
327,329,136,520
328,330,137,521
329,331,138,522
330,332,139,523
331,333,140,524
332,334,141,525
333,335,142,526
334,336,143,527
335,337,144,528
336,338,145,529
337,339,146,530
338,340,147,531
339,341,148,532
340,342,149,533
341,343,150,534
342,344,151,535
343,345,152,536
344,346,153,537
