R2ID,Identificador,Dist,Ranitas_C6M,C6M
0,4224,0,3,1
1,4225,0,0,1
2,4226,0,1,1
3,4227,0,2,1
4,4228,0,0,1
5,4416,1,0,0
6,4417,1,0,0
7,4418,1,0,0
8,4419,1,0,0
9,4420,0,2,1
10,4421,0,3,1
11,4422,0,0,1
12,4423,0,1,1
13,4424,0,0,1
14,4608,2,0,0
15,4609,2,0,0
16,4610,2,0,0
17,4611,2,0,0
18,4612,1,0,0
19,4613,1,0,0
20,4614,1,0,0
21,4615,1,0,0
22,4616,0,0,1
23,4617,0,1,1
24,4618,0,2,1
25,4619,0,2,1
26,4620,0,0,1
27,4800,3,0,0
28,4801,3,0,0
29,4802,3,0,0
30,4803,3,0,0
31,4804,2,0,0
32,4805,2,0,0
33,4806,2,0,0
34,4807,2,0,0
35,4808,2,0,0
36,4809,2,0,0
37,4810,2,0,0
38,4811,2,0,0
39,4812,0,3,1
40,4813,0,1,1
41,4814,0,0,1
42,4815,0,0,1
43,4992,4,0,0
44,4993,4,0,0
45,4994,4,0,0
46,4995,4,0,0
47,4996,3,0,0
48,4997,3,0,0
49,4998,3,0,0
50,4999,3,0,0
51,5000,3,0,0
52,5001,3,0,0
53,5002,3,0,0
54,5003,3,0,0
55,5004,1,0,0
56,5005,1,0,0
57,5006,1,0,0
58,5007,0,0,1
59,5008,0,0,1
60,5009,0,1,1
61,5010,0,0,1
62,5011,0,0,1
63,5184,5,0,0
64,5185,5,0,0
65,5186,5,0,0
66,5187,5,0,0
67,5188,4,0,0
68,5189,4,0,0
69,5190,4,0,0
70,5191,4,0,0
71,5192,4,0,0
72,5193,4,0,0
73,5194,4,0,0
74,5195,4,0,0
75,5196,2,0,0
76,5197,2,0,0
77,5198,2,0,0
78,5199,1,0,0
79,5200,1,0,0
80,5201,1,0,0
81,5202,1,0,0
82,5203,0,2,1
83,5204,0,0,1
84,5205,0,1,1
85,5206,0,1,1
86,5227,0,0,1
87,5228,0,1,1
88,5229,0,0,1
89,5230,0,1,1
90,5231,0,0,1
91,5232,0,1,1
92,5233,0,3,1
93,5234,0,2,1
94,5235,0,3,1
95,5236,0,0,1
96,5237,0,1,1
97,5238,0,2,1
98,5239,0,2,1
99,5240,0,0,1
100,5241,0,1,1
101,5242,0,3,1
102,5243,0,1,1
103,5244,0,2,1
104,5245,0,0,1
105,5376,7,0,0
106,5377,7,0,0
107,5378,7,0,0
108,5379,7,0,0
109,5380,6,0,0
110,5381,7,0,0
111,5382,7,0,0
112,5383,7,0,0
113,5384,6,0,0
114,5385,6,0,0
115,5386,6,0,0
116,5387,6,0,0
117,5388,4,0,0
118,5389,4,0,0
119,5390,3,0,0
120,5391,2,0,0
121,5392,2,0,0
122,5393,3,0,0
123,5394,3,0,0
124,5395,2,0,0
125,5396,2,0,0
126,5397,2,0,0
127,5398,0,0,1
128,5399,0,2,1
129,5400,0,0,1
130,5401,0,0,1
131,5402,0,0,1
132,5403,0,1,1
133,5404,0,2,1
134,5405,0,0,1
135,5406,0,0,1
136,5407,0,3,1
137,5408,0,1,1
138,5409,0,2,1
139,5410,0,0,1
140,5411,0,4,1
141,5412,0,3,1
142,5413,0,1,1
143,5414,0,2,1
144,5415,0,0,1
145,5416,0,2,1
146,5417,0,1,1
147,5418,0,2,1
148,5419,0,0,1
149,5420,1,0,0
150,5421,1,0,0
151,5422,1,0,0
152,5423,1,0,0
153,5424,1,0,0
154,5425,1,0,0
155,5426,1,0,0
156,5427,1,0,0
157,5428,1,0,0
158,5429,1,0,0
159,5430,1,0,0
160,5431,1,0,0
161,5432,1,0,0
162,5433,1,0,0
163,5434,1,0,0
164,5435,1,0,0
165,5436,1,0,0
166,5437,0,1,1
167,5438,0,2,1
168,5439,0,0,1
169,5440,0,2,1
170,5441,0,3,1
171,5442,0,0,1
172,5568,8,0,0
173,5569,8,0,0
174,5570,8,0,0
175,5571,8,0,0
176,5572,7,0,0
177,5573,8,0,0
178,5574,8,0,0
179,5575,8,0,0
180,5576,7,0,0
181,5577,7,0,0
182,5578,7,0,0
183,5579,7,0,0
184,5580,5,0,0
185,5581,5,0,0
186,5582,4,0,0
187,5583,3,0,0
188,5584,3,0,0
189,5585,4,0,0
190,5586,4,0,0
191,5587,3,0,0
192,5588,3,0,0
193,5589,3,0,0
194,5590,1,0,0
195,5591,1,0,0
196,5592,1,0,0
197,5593,1,0,0
198,5594,1,0,0
199,5595,1,0,0
200,5596,1,0,0
201,5597,1,0,0
202,5598,1,0,0
203,5599,1,0,0
204,5600,1,0,0
205,5601,1,0,0
206,5602,1,0,0
207,5603,1,0,0
208,5604,1,0,0
209,5605,1,0,0
210,5606,1,0,0
211,5607,1,0,0
212,5608,1,0,0
213,5609,1,0,0
214,5610,1,0,0
215,5611,1,0,0
216,5612,2,0,0
217,5613,2,0,0
218,5614,2,0,0
219,5615,2,0,0
220,5616,2,0,0
221,5617,2,0,0
222,5618,2,0,0
223,5619,2,0,0
224,5620,2,0,0
225,5621,2,0,0
226,5622,2,0,0
227,5623,2,0,0
228,5624,2,0,0
229,5625,2,0,0
230,5626,2,0,0
231,5627,2,0,0
232,5628,2,0,0
233,5629,1,0,0
234,5630,1,0,0
235,5631,1,0,0
236,5632,1,0,0
237,5633,1,0,0
238,5634,0,1,1
239,5635,0,0,1
240,5636,0,0,1
241,5637,0,0,1
242,5760,9,0,0
243,5761,9,0,0
244,5762,9,0,0
245,5763,9,0,0
246,5764,8,0,0
247,5765,9,0,0
248,5766,9,0,0
249,5767,9,0,0
250,5768,8,0,0
251,5769,8,0,0
252,5770,8,0,0
253,5771,8,0,0
254,5772,6,0,0
255,5773,6,0,0
256,5774,5,0,0
257,5775,4,0,0
258,5776,4,0,0
259,5777,5,0,0
260,5778,5,0,0
261,5779,4,0,0
262,5780,4,0,0
263,5781,4,0,0
264,5782,2,0,0
265,5783,2,0,0
266,5784,2,0,0
267,5785,2,0,0
268,5786,2,0,0
269,5787,2,0,0
270,5788,2,0,0
271,5789,2,0,0
272,5790,2,0,0
273,5791,2,0,0
274,5792,2,0,0
275,5793,2,0,0
276,5794,2,0,0
277,5795,2,0,0
278,5796,2,0,0
279,5797,2,0,0
280,5798,2,0,0
281,5799,2,0,0
282,5800,2,0,0
283,5801,2,0,0
284,5802,2,0,0
285,5803,2,0,0
286,5804,3,0,0
287,5805,3,0,0
288,5806,3,0,0
289,5807,3,0,0
290,5808,3,0,0
291,5809,3,0,0
292,5810,3,0,0
293,5811,3,0,0
294,5812,3,0,0
295,5813,3,0,0
296,5814,3,0,0
297,5815,3,0,0
298,5816,3,0,0
299,5817,3,0,0
300,5818,3,0,0
301,5819,3,0,0
302,5820,3,0,0
303,5821,2,0,0
304,5822,2,0,0
305,5823,2,0,0
306,5824,2,0,0
307,5825,2,0,0
308,5826,1,0,0
309,5827,1,0,0
310,5828,1,0,0
311,5829,1,0,0
312,5830,0,2,1
313,5831,0,0,1
314,5832,0,4,1
315,5833,0,1,1
