10944
10945,10752,11136
10944,10946,11137
10945,11138
11137,10944,11328
11136,11138,10945,11329
11137,11139,10946,11330
11138,11140,11331
11139,11332
11329,11136,11520
11328,11330,11137,11521
11329,11331,11138,11522
11330,11332,11139,11523
11331,11333,11140,11524
11332,11334,11525
11333,11335,11526
11334,11527
11521,11328,11712
11520,11522,11329,11713
11521,11523,11330,11714
11522,11524,11331,11715
11523,11525,11332,11716
11524,11526,11333,11717
11525,11527,11334,11718
11526,11528,11335,11719
11527,11529,11720
11528,11721
11713,11520,11904
11712,11714,11521,11905
11713,11715,11522,11906
11714,11716,11523,11907
11715,11717,11524,11908
11716,11718,11525,11909
11717,11719,11526,11910
11718,11720,11527,11911
11719,11721,11528,11912
11720,11722,11529,11913
11721,11723,11914
11722,11915
11905,11712,12096
11904,11906,11713,12097
11905,11907,11714,12098
11906,11908,11715,12099
11907,11909,11716,12100
11908,11910,11717,12101
11909,11911,11718,12102
11910,11912,11719,12103
11911,11913,11720,12104
11912,11914,11721,12105
11913,11915,11722,12106
11914,11916,11723,12107
11915,11917,12108
11916,12109
12097,11904,12288
12096,12098,11905,12289
12097,12099,11906,12290
12098,12100,11907,12291
12099,12101,11908,12292
12100,12102,11909,12293
12101,12103,11910,12294
12102,12104,11911,12295
12103,12105,11912,12296
12104,12106,11913,12297
12105,12107,11914,12298
12106,12108,11915,12299
12107,12109,11916,12300
12108,12110,11917,12301
12109,12111,12302
12110,12112,12303
12111,12304
12289,12096,12480
12288,12290,12097,12481
12289,12291,12098,12482
12290,12292,12099,12483
12291,12293,12100,12484
12292,12294,12101,12485
12293,12295,12102,12486
12294,12296,12103,12487
12295,12297,12104,12488
12296,12298,12105,12489
12297,12299,12106,12490
12298,12300,12107,12491
12299,12301,12108,12492
12300,12302,12109,12493
12301,12303,12110,12494
12302,12304,12111,12495
12303,12305,12112,12496
12304,12306,12497
12305,12498
12481,12288,12672
12480,12482,12289,12673
12481,12483,12290,12674
12482,12484,12291,12675
12483,12485,12292,12676
12484,12486,12293,12677
12485,12487,12294,12678
12486,12488,12295,12679
12487,12489,12296,12680
12488,12490,12297,12681
12489,12491,12298,12682
12490,12492,12299,12683
12491,12493,12300,12684
12492,12494,12301,12685
12493,12495,12302,12686
12494,12496,12303,12687
12495,12497,12304,12688
12496,12498,12305,12689
12497,12499,12306,12690
12498,12500,12691
12499,12692
12673,12480,12864
12672,12674,12481,12865
12673,12675,12482,12866
12674,12676,12483,12867
12675,12677,12484,12868
12676,12678,12485,12869
12677,12679,12486,12870
12678,12680,12487,12871
12679,12681,12488,12872
12680,12682,12489,12873
12681,12683,12490,12874
12682,12684,12491,12875
12683,12685,12492,12876
12684,12686,12493,12877
12685,12687,12494,12878
12686,12688,12495,12879
12687,12689,12496,12880
12688,12690,12497,12881
12689,12691,12498,12882
12690,12692,12499,12883
12691,12693,12500,12884
12692,12694,12885
12693,12886
12865,12672,13056
12864,12866,12673,13057
12865,12867,12674,13058
12866,12868,12675,13059
12867,12869,12676,13060
12868,12870,12677,13061
12869,12871,12678,13062
12870,12872,12679,13063
12871,12873,12680,13064
12872,12874,12681,13065
12873,12875,12682,13066
12874,12876,12683,13067
12875,12877,12684,13068
12876,12878,12685,13069
12877,12879,12686,13070
12878,12880,12687,13071
12879,12881,12688,13072
12880,12882,12689,13073
12881,12883,12690,13074
12882,12884,12691,13075
12883,12885,12692,13076
12884,12886,12693,13077
12885,12887,12694,13078
12886,12888,13079
12887,13080
13057,12864,13248
13056,13058,12865,13249
13057,13059,12866,13250
13058,13060,12867,13251
13059,13061,12868,13252
13060,13062,12869,13253
13061,13063,12870,13254
13062,13064,12871,13255
13063,13065,12872,13256
13064,13066,12873,13257
13065,13067,12874,13258
13066,13068,12875,13259
13067,13069,12876,13260
13068,13070,12877,13261
13069,13071,12878,13262
13070,13072,12879,13263
13071,13073,12880,13264
13072,13074,12881,13265
13073,13075,12882,13266
13074,13076,12883,13267
13075,13077,12884,13268
13076,13078,12885,13269
13077,13079,12886,13270
13078,13080,12887,13271
13079,13081,12888,13272
13080,13082,13273
13081,13274
13249,13056,13440
13248,13250,13057,13441
13249,13251,13058,13442
13250,13252,13059,13443
13251,13253,13060,13444
13252,13254,13061,13445
13253,13255,13062,13446
13254,13256,13063,13447
13255,13257,13064,13448
13256,13258,13065,13449
13257,13259,13066,13450
13258,13260,13067,13451
13259,13261,13068,13452
13260,13262,13069,13453
13261,13263,13070,13454
13262,13264,13071,13455
13263,13265,13072,13456
13264,13266,13073,13457
13265,13267,13074,13458
13266,13268,13075,13459
13267,13269,13076,13460
