I,Dist
0,33
1,33
2,34
3,34
4,34
5,35
6,35
7,35
8,36
9,37
10,37
11,37
12,37
13,37
14,37
15,37
16,38
17,39
18,39
19,39
20,39
21,39
22,39
23,38
24,38
25,38
26,38
27,38
28,38
29,36
30,36
31,36
32,36
33,36
34,36
35,35
36,35
37,35
38,35
39,35
40,35
41,36
42,36
43,35
44,36
45,36
46,36
47,36
48,36
49,36
50,36
51,36
52,36
53,35
54,35
55,35
56,35
57,35
58,35
59,34
60,34
61,34
62,35
63,35
64,35
65,35
66,35
67,36
68,37
69,37
70,38
71,38
72,38
73,38
74,39
75,39
76,40
77,41
78,42
79,42
80,44
81,45
82,45
83,47
84,47
85,49
86,51
87,52
88,54
89,56
90,57
91,59
92,61
93,62
94,64
95,65
96,65
97,66
98,68
99,68
100,69
101,70
102,72
103,72
104,73
105,73
106,73
107,74
108,74
109,74
110,75
111,76
112,77
113,77
114,77
115,78
116,78
117,79
118,80
119,80
120,83
121,83
122,83
123,85
124,85
125,85
126,87
127,87
128,88
129,90
130,90
131,91
132,91
133,91
134,91
135,91
136,91
137,92
138,93
139,93
140,94
141,93
142,93
143,92
144,89
145,89
146,90
147,89
148,89
149,90
150,90
151,90
152,88
153,88
154,88
155,89
156,88
157,88
158,88
159,89
160,89
161,89
162,88
163,86
164,86
165,86
166,86
167,87
168,87
169,87
170,87
171,89
172,89
173,89
174,89
175,87
176,87
177,87
178,87
179,88
180,88
181,88
182,88
183,90
184,90
185,90
186,89
187,89
188,89
189,88
190,88
191,88
192,31
193,31
194,31
195,31
196,31
197,33
198,33
199,33
200,34
201,35
202,35
203,35
204,35
205,35
206,35
207,35
208,36
209,37
210,37
211,37
212,37
213,37
214,37
215,36
216,36
217,36
218,36
219,36
220,36
221,35
222,35
223,35
224,34
225,34
226,34
227,33
228,33
229,33
230,33
231,33
232,33
233,33
234,33
235,33
236,33
237,33
238,33
239,34
240,34
241,34
242,33
243,33
244,33
245,33
246,33
247,33
248,33
249,33
250,33
251,33
252,33
253,33
254,34
255,34
256,34
257,34
258,34
259,35
260,35
261,35
262,36
263,36
264,36
265,36
266,37
267,37
268,38
269,39
270,40
271,40
272,43
273,44
274,44
275,46
