I,Elev_Rel
0,11
1,11
2,12
3,12
4,12
5,12
6,12
7,12
8,13
9,13
10,13
11,13
12,13
13,12
14,12
15,12
16,12
17,13
18,13
19,13
20,12
21,12
22,12
23,10
24,10
25,10
26,10
27,10
28,10
29,8
30,8
31,8
32,8
33,8
34,8
35,7
36,7
37,7
38,7
39,7
40,7
41,8
42,8
43,8
44,9
45,9
46,9
47,9
48,9
49,9
50,9
51,9
52,9
53,8
54,8
55,8
56,8
57,8
58,8
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,8
69,8
70,8
71,8
72,8
73,8
74,8
75,8
76,8
77,9
78,9
79,9
80,10
81,10
82,10
83,11
84,11
85,12
86,13
87,13
88,14
89,15
90,15
91,16
92,17
93,17
94,18
95,18
96,18
97,18
98,19
99,19
100,19
101,19
102,20
103,20
104,20
105,20
106,20
107,20
108,20
109,20
110,20
111,21
112,21
113,21
114,21
115,21
116,21
117,22
118,22
119,22
120,24
121,24
122,24
123,25
124,25
125,25
126,26
127,26
128,26
129,28
130,28
131,28
132,28
133,28
134,27
135,27
136,27
137,27
138,28
139,28
140,28
141,27
142,27
143,25
144,22
145,22
146,22
147,21
148,21
149,21
150,21
151,21
152,18
153,18
154,18
155,18
156,17
157,17
158,17
159,17
160,17
161,17
162,16
163,13
164,13
165,13
166,13
167,13
168,13
169,13
170,13
171,14
172,14
173,14
174,14
175,11
176,11
177,11
178,11
179,11
180,11
181,11
182,11
183,13
184,13
185,13
186,12
187,12
188,12
189,11
190,11
191,11
192,10
193,10
194,10
195,10
196,10
197,11
198,11
199,11
200,12
201,12
202,12
203,12
204,12
205,11
206,11
207,11
208,11
209,12
210,12
211,12
212,11
213,11
214,11
215,9
216,9
217,9
218,9
219,9
220,9
221,8
222,8
223,8
224,7
225,7
226,7
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,7
236,7
237,7
238,7
239,8
240,8
241,8
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,7
266,7
267,7
268,7
269,8
270,8
271,8
272,10
273,10
274,10
275,11
276,11
277,12
278,13
279,13
280,14
281,15
282,15
283,16
284,17
285,17
286,18
287,18
288,19
289,19
290,19
291,20
292,20
293,20
294,20
295,20
296,20
297,20
298,20
299,20
300,21
301,21
302,21
303,21
304,21
305,21
306,22
307,22
308,22
309,23
310,23
311,23
312,24
313,24
314,24
315,25
316,25
317,25
318,25
319,25
320,25
321,28
322,28
323,28
324,28
325,28
326,27
327,27
328,27
329,27
330,28
331,28
332,28
333,27
334,27
335,26
336,23
337,23
338,23
339,22
340,22
341,22
342,22
343,22
344,20
345,19
346,19
347,19
348,19
349,19
350,19
351,19
352,19
353,19
354,18
355,14
356,14
357,14
358,14
359,14
360,15
361,15
362,15
363,15
364,15
365,15
366,15
367,12
368,12
369,13
370,13
371,13
372,13
373,13
374,13
375,14
376,14
377,14
378,13
379,13
380,13
381,12
382,12
383,12
384,10
385,10
386,10
387,10
388,10
389,11
390,11
391,11
392,12
393,12
394,12
395,12
396,12
397,11
398,11
399,11
400,11
401,12
402,12
403,12
404,11
405,11
406,11
407,9
408,9
409,9
410,9
411,9
412,9
413,8
414,8
415,8
416,7
417,7
418,7
419,6
420,6
421,6
422,6
423,6
424,6
425,6
426,6
427,7
428,7
429,7
430,7
431,8
432,8
433,8
434,7
435,7
436,7
437,7
438,7
439,7
440,7
441,7
442,7
443,7
444,7
445,7
446,7
447,7
448,7
449,7
450,7
451,7
452,7
453,7
454,7
455,7
456,7
457,7
458,7
459,7
460,7
461,8
462,8
463,8
464,10
465,10
466,10
467,11
468,11
469,12
470,13
471,13
472,14
473,15
474,15
475,16
476,17
477,17
478,18
479,18
480,19
481,19
482,19
483,20
484,20
485,20
486,20
487,20
488,20
489,20
490,20
491,20
492,21
493,21
494,21
495,21
496,21
497,21
498,22
499,22
500,22
501,23
502,23
503,23
504,24
505,24
506,24
507,25
508,25
509,25
510,25
511,25
512,25
513,28
514,28
515,28
516,28
517,28
518,27
519,27
520,27
521,27
522,28
523,28
524,28
525,27
526,27
527,26
528,23
529,23
530,23
531,22
532,22
533,22
534,22
535,22
536,20
537,19
538,19
539,19
540,19
541,19
542,19
543,19
544,19
545,19
546,18
547,14
548,14
549,14
550,14
551,14
552,15
553,15
554,15
555,15
556,15
557,15
558,15
559,12
560,12
561,13
562,13
563,13
564,13
565,13
566,13
567,14
568,14
569,14
570,13
571,13
572,13
573,12
574,12
575,12
576,10
577,10
578,10
579,10
580,10
581,11
582,11
583,11
584,12
585,12
586,12
587,12
588,12
589,11
590,11
591,11
592,11
593,12
594,12
595,12
596,11
597,11
598,11
599,9
600,9
601,9
602,9
603,9
604,9
605,8
606,8
607,8
608,7
609,7
610,7
611,6
612,6
613,6
614,6
615,6
616,6
617,6
618,6
619,7
620,7
621,7
622,7
623,8
624,8
625,8
626,7
627,7
628,7
629,7
630,7
631,7
632,7
633,7
634,7
635,7
636,7
637,7
638,7
639,7
640,7
641,7
642,7
643,7
644,7
645,7
646,7
647,7
648,7
649,7
650,7
651,7
652,7
653,8
654,8
655,8
656,10
657,10
658,10
659,11
660,11
661,12
662,13
663,13
664,14
665,15
666,15
667,16
668,17
669,17
670,18
671,18
672,19
673,19
674,19
675,20
676,20
677,20
678,20
679,20
680,20
681,20
682,20
683,20
684,21
685,21
686,21
687,21
688,21
689,21
690,22
691,22
692,22
693,23
694,23
695,23
696,24
697,24
698,24
699,25
700,25
701,25
702,25
703,25
704,25
705,28
706,28
707,28
708,28
709,28
710,27
711,27
712,27
713,27
714,28
715,28
716,28
717,27
718,27
719,26
720,23
721,23
722,23
723,22
724,22
725,22
726,22
727,22
728,20
729,19
730,19
731,19
732,19
733,19
734,19
735,19
736,19
737,19
738,18
739,14
740,14
741,14
742,14
743,14
744,15
745,15
746,15
747,15
748,15
749,15
750,15
751,12
752,12
753,13
754,13
755,13
756,13
757,13
758,13
759,14
760,14
761,14
762,13
763,13
764,13
765,12
766,12
767,12
768,8
769,8
770,8
771,8
772,8
773,9
774,9
775,9
776,10
777,10
778,10
779,10
780,10
781,9
782,10
783,10
784,10
785,10
786,10
787,10
788,10
789,10
790,10
791,8
792,8
793,8
794,8
795,8
796,8
797,6
798,6
799,6
800,5
801,5
802,5
803,5
804,5
805,5
806,5
807,5
808,5
809,5
810,5
811,5
812,6
813,6
814,6
815,6
816,6
817,6
818,6
819,6
820,6
821,6
822,6
823,6
824,6
825,6
826,6
827,6
828,6
829,6
830,6
831,6
832,6
833,6
834,6
835,6
836,7
837,7
838,7
839,7
840,7
841,7
842,7
843,7
844,7
845,8
846,8
847,8
848,10
849,10
850,10
851,11
852,11
853,12
854,13
855,13
856,14
857,15
858,15
859,17
860,17
861,17
862,18
863,18
864,19
865,19
866,19
867,20
868,20
869,20
870,21
871,21
872,21
873,21
874,21
875,21
876,21
877,21
878,21
879,21
880,21
881,21
882,22
883,22
884,22
885,23
886,23
887,23
888,24
889,24
890,24
891,24
892,24
893,24
894,25
895,25
896,25
897,28
898,28
899,28
900,28
901,28
902,26
903,27
904,27
905,27
906,28
907,28
908,28
909,27
910,27
911,26
912,23
913,23
914,23
915,23
916,23
917,23
918,23
919,23
920,21
921,21
922,21
923,21
924,21
925,21
926,21
927,21
928,21
929,21
930,19
931,16
932,16
933,16
934,16
935,16
936,16
937,16
938,16
939,17
940,17
941,17
942,17
943,14
944,14
945,14
946,14
947,14
948,15
949,15
950,15
951,15
952,15
953,15
954,14
955,14
956,14
957,13
958,13
959,13
960,8
961,8
962,8
963,8
964,8
965,9
966,9
967,9
968,10
969,10
970,10
971,10
972,10
973,9
974,10
975,10
976,10
977,10
978,10
979,10
980,10
981,10
982,10
983,8
984,8
985,8
986,8
987,8
988,8
989,6
990,6
991,6
992,5
993,5
994,5
995,5
996,5
997,5
998,5
999,5
1000,5
1001,5
1002,5
1003,5
1004,6
1005,6
1006,6
1007,6
1008,6
1009,6
1010,6
1011,6
1012,6
1013,6
1014,6
1015,6
1016,6
1017,6
1018,6
1019,6
1020,6
1021,6
1022,6
1023,6
1024,6
1025,6
1026,6
1027,6
1028,7
1029,7
1030,7
1031,7
1032,7
1033,7
1034,7
1035,7
1036,7
1037,8
1038,8
1039,8
1040,10
1041,10
1042,10
1043,11
1044,11
1045,12
1046,13
1047,13
1048,14
1049,15
1050,15
1051,17
1052,17
1053,17
1054,18
1055,18
1056,19
1057,19
1058,19
1059,20
1060,20
1061,20
1062,21
1063,21
1064,21
1065,21
1066,21
1067,21
1068,21
1069,21
1070,21
1071,21
1072,21
1073,21
1074,22
1075,22
1076,22
1077,23
1078,23
1079,23
1080,24
1081,24
1082,24
1083,24
1084,24
1085,24
1086,25
1087,25
1088,25
1089,28
1090,28
1091,28
1092,28
1093,28
1094,26
1095,27
1096,27
1097,27
1098,28
1099,28
1100,28
1101,27
1102,27
1103,26
1104,23
1105,23
1106,23
1107,23
1108,23
1109,23
1110,23
1111,23
1112,21
1113,21
1114,21
1115,21
1116,21
1117,21
1118,21
1119,21
1120,21
1121,21
1122,19
1123,16
1124,16
1125,16
1126,16
1127,16
1128,16
1129,16
1130,16
1131,17
1132,17
1133,17
1134,17
1135,14
1136,14
1137,14
1138,14
1139,14
1140,15
1141,15
1142,15
1143,15
1144,15
1145,15
1146,14
1147,14
1148,14
1149,13
1150,13
1151,13
1152,8
1153,8
1154,8
1155,8
1156,8
1157,9
1158,9
1159,9
1160,10
1161,10
1162,10
1163,10
1164,10
1165,9
1166,10
1167,10
1168,10
1169,10
1170,10
1171,10
1172,10
1173,10
1174,10
1175,8
1176,8
1177,8
1178,8
1179,8
1180,8
1181,6
1182,6
1183,6
1184,5
1185,5
1186,5
1187,5
1188,5
1189,5
1190,5
1191,5
1192,5
1193,5
1194,5
1195,5
1196,6
1197,6
1198,6
1199,6
1200,6
1201,6
1202,6
1203,6
1204,6
1205,6
1206,6
1207,6
1208,6
1209,6
1210,6
1211,6
1212,6
1213,6
1214,6
1215,6
1216,6
1217,6
1218,6
1219,6
1220,7
1221,7
1222,7
1223,7
1224,7
1225,7
1226,7
1227,7
1228,7
1229,8
1230,8
1231,8
1232,10
1233,10
1234,10
1235,11
1236,11
1237,12
1238,13
1239,13
1240,14
1241,15
1242,15
1243,17
1244,17
1245,17
1246,18
1247,18
1248,19
1249,19
1250,19
1251,20
1252,20
1253,20
1254,21
1255,21
1256,21
1257,21
1258,21
1259,21
1260,21
1261,21
1262,21
1263,21
1264,21
1265,21
1266,22
1267,22
1268,22
1269,23
1270,23
1271,23
1272,24
1273,24
1274,24
1275,24
1276,24
1277,24
1278,25
1279,25
1280,25
1281,28
1282,28
1283,28
1284,28
1285,28
1286,26
1287,27
1288,27
1289,27
1290,28
1291,28
1292,28
1293,27
1294,27
1295,26
1296,23
1297,23
1298,23
1299,23
1300,23
1301,23
1302,23
1303,23
1304,21
1305,21
1306,21
1307,21
1308,21
1309,21
1310,21
1311,21
1312,21
1313,21
1314,19
1315,16
1316,16
1317,16
1318,16
1319,16
1320,16
1321,16
1322,16
1323,17
1324,17
1325,17
1326,17
1327,14
1328,14
1329,14
1330,14
1331,14
1332,15
1333,15
1334,15
1335,15
1336,15
1337,15
1338,14
1339,14
1340,14
1341,13
1342,13
1343,13
1344,5
1345,5
1346,6
1347,6
1348,6
1349,6
1350,6
1351,6
1352,8
1353,8
1354,8
1355,8
1356,8
1357,7
1358,8
1359,8
1360,8
1361,9
1362,9
1363,9
1364,8
1365,8
1366,8
1367,7
1368,7
1369,7
1370,6
1371,6
1372,6
1373,5
1374,5
1375,5
1376,4
1377,4
1378,4
1379,4
1380,4
1381,4
1382,4
1383,4
1384,4
1385,4
1386,4
1387,4
1388,4
1389,4
1390,4
1391,5
1392,5
1393,5
1394,5
1395,5
1396,5
1397,5
1398,5
1399,5
1400,5
1401,5
1402,5
1403,5
1404,5
1405,5
1406,6
1407,6
1408,6
1409,5
1410,5
1411,5
1412,6
1413,6
1414,6
1415,6
1416,6
1417,6
1418,7
1419,7
1420,7
1421,8
1422,8
1423,8
1424,10
1425,10
1426,10
1427,11
1428,11
1429,12
1430,13
1431,13
1432,14
1433,15
1434,15
1435,16
1436,17
1437,17
1438,18
1439,18
1440,18
1441,18
1442,19
1443,20
1444,20
1445,20
1446,21
1447,21
1448,21
1449,21
1450,21
1451,21
1452,21
1453,21
1454,21
1455,22
1456,22
1457,22
1458,22
1459,22
1460,22
1461,23
1462,23
1463,23
1464,24
1465,24
1466,24
1467,24
1468,24
1469,24
1470,25
1471,25
1472,25
1473,26
1474,26
1475,26
1476,27
1477,27
1478,26
1479,27
1480,27
1481,27
1482,27
1483,27
1484,27
1485,27
1486,27
1487,26
1488,23
1489,23
1490,23
1491,23
1492,23
1493,23
1494,23
1495,23
1496,21
1497,21
1498,21
1499,21
1500,22
1501,22
1502,22
1503,22
1504,22
1505,22
1506,20
1507,17
1508,17
1509,17
1510,17
1511,17
1512,17
1513,17
1514,17
1515,18
1516,18
1517,18
1518,18
1519,15
1520,15
1521,16
1522,16
1523,16
1524,16
1525,16
1526,16
1527,17
1528,17
1529,17
1530,15
1531,15
1532,15
1533,13
1534,13
1535,13
1536,5
1537,5
1538,6
1539,6
1540,6
1541,6
1542,6
1543,6
1544,8
1545,8
1546,8
1547,8
1548,8
1549,7
1550,8
1551,8
1552,8
1553,9
1554,9
1555,9
1556,8
1557,8
1558,8
1559,7
1560,7
1561,7
1562,6
1563,6
1564,6
1565,5
1566,5
1567,5
1568,4
1569,4
1570,4
1571,4
1572,4
1573,4
1574,4
1575,4
1576,4
1577,4
1578,4
1579,4
1580,4
1581,4
1582,4
1583,5
1584,5
1585,5
1586,5
1587,5
1588,5
1589,5
1590,5
1591,5
1592,5
1593,5
1594,5
1595,5
1596,5
1597,5
1598,6
1599,6
1600,6
1601,5
1602,5
1603,5
1604,6
1605,6
1606,6
1607,6
1608,6
1609,6
1610,7
1611,7
1612,7
1613,8
1614,8
1615,8
1616,10
1617,10
1618,10
1619,11
1620,11
1621,12
1622,13
1623,13
1624,14
1625,15
1626,15
1627,16
1628,17
1629,17
1630,18
1631,18
1632,18
1633,18
1634,19
1635,20
1636,20
1637,20
1638,21
1639,21
1640,21
1641,21
1642,21
1643,21
1644,21
1645,21
1646,21
1647,22
1648,22
1649,22
1650,22
1651,22
1652,22
1653,23
1654,23
1655,23
1656,24
1657,24
1658,24
1659,24
1660,24
1661,24
1662,25
1663,25
1664,25
1665,26
1666,26
1667,26
1668,27
1669,27
1670,26
1671,27
1672,27
1673,27
1674,27
1675,27
1676,27
1677,27
1678,27
1679,26
1680,23
1681,23
1682,23
1683,23
1684,23
1685,23
1686,23
1687,23
1688,21
1689,21
1690,21
1691,21
1692,22
1693,22
1694,22
1695,22
1696,22
1697,22
1698,20
1699,17
1700,17
1701,17
1702,17
1703,17
1704,17
1705,17
1706,17
1707,18
1708,18
1709,18
1710,18
1711,15
1712,15
1713,16
1714,16
1715,16
1716,16
1717,16
1718,16
1719,17
1720,17
1721,17
1722,15
1723,15
1724,15
1725,13
1726,13
1727,13
1728,5
1729,5
1730,6
1731,6
1732,6
1733,6
1734,6
1735,6
1736,8
1737,8
1738,8
1739,8
1740,8
1741,7
1742,8
1743,8
1744,8
1745,9
1746,9
1747,9
1748,8
1749,8
1750,8
1751,7
1752,7
1753,7
1754,6
1755,6
1756,6
1757,5
1758,5
1759,5
1760,4
1761,4
1762,4
1763,4
1764,4
1765,4
1766,4
1767,4
1768,4
1769,4
1770,4
1771,4
1772,4
1773,4
1774,4
1775,5
1776,5
1777,5
1778,5
1779,5
1780,5
1781,5
1782,5
1783,5
1784,5
1785,5
1786,5
1787,5
1788,5
1789,5
1790,6
1791,6
1792,6
1793,5
1794,5
1795,5
1796,6
1797,6
1798,6
1799,6
1800,6
1801,6
1802,7
1803,7
1804,7
1805,8
1806,8
1807,8
1808,10
1809,10
1810,10
1811,11
1812,11
1813,12
1814,13
1815,13
1816,14
1817,15
1818,15
1819,16
1820,17
1821,17
1822,18
1823,18
1824,18
1825,18
1826,19
1827,20
1828,20
1829,20
1830,21
1831,21
1832,21
1833,21
1834,21
1835,21
1836,21
1837,21
1838,21
1839,22
1840,22
1841,22
1842,22
1843,22
1844,22
1845,23
1846,23
1847,23
1848,24
1849,24
1850,24
1851,24
1852,24
1853,24
1854,25
1855,25
1856,25
1857,26
1858,26
1859,26
1860,27
1861,27
1862,26
1863,27
1864,27
1865,27
1866,27
1867,27
1868,27
1869,27
1870,27
1871,26
1872,23
1873,23
1874,23
1875,23
1876,23
1877,23
1878,23
1879,23
1880,21
1881,21
1882,21
1883,21
1884,22
1885,22
1886,22
1887,22
1888,22
1889,22
1890,20
1891,17
1892,17
1893,17
1894,17
1895,17
1896,17
1897,17
1898,17
1899,18
1900,18
1901,18
1902,18
1903,15
