Identificador,Generacion
0,22
1,22
2,22
3,22
4,22
5,23
6,23
7,23
8,23
9,24
10,24
11,24
12,24
13,25
14,25
15,25
16,26
17,26
18,26
19,26
20,27
21,27
22,27
23,28
24,28
25,28
26,28
27,28
28,28
29,28
30,28
31,28
32,28
33,28
34,28
35,28
36,28
37,28
38,28
39,28
40,28
41,28
42,28
43,27
44,27
45,27
46,27
47,27
48,27
49,27
50,27
51,27
52,27
53,27
54,27
55,27
56,27
57,27
58,27
59,27
60,27
61,27
62,28
63,28
64,28
65,28
66,28
67,29
68,29
69,29
70,30
71,30
72,30
73,30
74,31
75,31
76,32
77,32
78,33
79,33
80,34
81,35
82,35
83,36
84,36
85,37
86,38
87,39
88,40
89,41
90,42
91,43
92,44
93,45
94,46
95,47
96,47
97,48
98,49
99,49
100,50
101,51
102,52
103,52
104,53
105,53
106,53
107,54
108,54
109,54
110,55
111,55
112,56
113,56
114,56
115,57
116,57
117,57
118,58
119,58
120,59
121,59
122,59
123,60
124,60
125,60
126,61
127,61
128,62
129,62
130,62
131,63
132,63
133,63
134,64
135,64
136,64
137,65
138,65
139,65
140,66
141,66
142,66
143,67
144,67
145,67
146,68
147,68
148,68
149,69
150,69
151,69
152,70
153,70
154,70
155,71
156,71
157,71
158,71
159,72
160,72
161,72
162,72
163,73
164,73
165,73
166,73
167,74
168,74
169,74
170,74
171,75
172,75
173,75
174,75
175,76
176,76
177,76
178,76
179,77
180,77
181,77
182,77
183,77
184,77
185,77
186,77
187,77
188,77
189,77
190,77
191,77
192,21
193,21
194,21
195,21
196,21
197,22
198,22
199,22
200,22
201,23
202,23
203,23
204,23
205,24
206,24
207,24
208,25
209,25
210,25
211,25
212,26
213,26
214,26
215,27
216,27
217,27
218,27
219,27
220,27
221,27
222,27
223,27
224,27
225,27
226,27
227,27
228,27
229,27
230,27
231,27
232,27
233,27
234,27
235,26
236,26
237,26
238,26
239,26
240,26
241,26
242,26
243,26
244,26
245,26
246,26
247,26
248,26
249,26
250,26
251,26
252,26
253,26
254,27
255,27
256,27
257,27
258,27
259,28
260,28
261,28
262,29
263,29
264,29
265,29
266,30
267,30
268,31
269,31
270,32
271,32
272,33
273,34
274,34
275,35
276,35
277,36
278,37
279,38
280,39
281,40
282,41
283,42
284,43
285,44
286,45
287,46
288,46
289,47
290,48
291,48
292,49
293,50
294,51
295,51
296,52
297,52
298,52
299,53
300,53
301,53
302,54
303,54
304,55
305,55
306,55
307,56
308,56
309,56
310,57
311,57
312,58
313,58
314,58
315,59
316,59
317,59
318,60
319,60
320,61
321,61
322,61
323,62
324,62
325,62
326,63
327,63
328,63
329,64
330,64
331,64
332,65
333,65
334,65
335,66
336,66
337,66
338,67
339,67
340,67
341,68
342,68
343,68
344,69
345,69
346,69
347,70
348,70
349,70
350,70
351,71
352,71
353,71
354,71
355,72
356,72
357,72
358,72
359,73
360,73
361,73
362,73
363,74
364,74
365,74
366,74
367,75
368,75
369,75
370,75
371,76
372,76
373,76
374,76
375,76
376,76
377,76
378,76
379,76
380,76
381,76
382,76
383,76
384,20
385,20
386,20
387,20
388,20
389,21
390,21
391,21
392,21
393,22
394,22
395,22
396,22
397,23
398,23
399,23
400,24
401,24
402,24
403,24
404,25
405,25
406,25
407,26
408,26
409,26
410,26
411,26
412,26
413,26
414,26
415,26
416,26
417,26
418,26
419,26
420,26
421,26
422,26
423,26
424,26
425,26
426,26
427,25
428,25
429,25
430,25
431,25
432,25
433,25
434,25
435,25
436,25
437,25
438,25
439,25
440,25
441,25
442,25
443,25
444,25
445,25
446,26
447,26
448,26
449,26
450,26
451,27
452,27
453,27
454,28
455,28
456,28
457,28
458,29
459,29
460,30
461,30
462,31
463,31
464,32
465,33
466,33
