I,X,Y,Z
0,594378.5,1669533.5,2197
1,594378.5,1669528.5,2197
2,594378.5,1669523.5,2190
3,594378.5,1669518.5,2190
4,594378.5,1669513.5,2190
5,594378.5,1669508.5,2182
6,594378.5,1669503.5,2182
7,594378.5,1669498.5,2182
8,594378.5,1669493.5,2175
9,594378.5,1669488.5,2175
10,594378.5,1669483.5,2175
11,594378.5,1669478.5,2167
12,594378.5,1669473.5,2167
13,594378.5,1669468.5,2167
14,594378.5,1669463.5,2160
15,594378.5,1669458.5,2160
16,594378.5,1669453.5,2160
17,594378.5,1669448.5,2150
18,594378.5,1669443.5,2150
19,594378.5,1669438.5,2150
20,594378.5,1669433.5,2138
21,594378.5,1669428.5,2138
22,594378.5,1669423.5,2138
23,594378.5,1669418.5,2125
24,594378.5,1669413.5,2125
25,594378.5,1669408.5,2125
26,594378.5,1669403.5,2114
27,594378.5,1669398.5,2114
28,594378.5,1669393.5,2114
29,594378.5,1669388.5,2104
30,594378.5,1669383.5,2104
31,594378.5,1669378.5,2104
32,594378.5,1669373.5,2095
33,594378.5,1669368.5,2095
34,594378.5,1669363.5,2095
35,594378.5,1669358.5,2085
36,594378.5,1669353.5,2085
37,594378.5,1669348.5,2085
38,594378.5,1669343.5,2079
39,594378.5,1669338.5,2079
40,594378.5,1669333.5,2079
41,594378.5,1669328.5,2075
42,594378.5,1669323.5,2075
43,594378.5,1669318.5,2075
44,594378.5,1669313.5,2071
45,594378.5,1669308.5,2071
46,594378.5,1669303.5,2071
47,594378.5,1669298.5,2066
48,594378.5,1669293.5,2066
49,594378.5,1669288.5,2066
50,594378.5,1669283.5,2062
51,594378.5,1669278.5,2062
52,594378.5,1669273.5,2062
53,594378.5,1669268.5,2058
54,594378.5,1669263.5,2058
55,594378.5,1669258.5,2058
56,594378.5,1669253.5,2052
57,594378.5,1669248.5,2052
58,594378.5,1669243.5,2052
59,594378.5,1669238.5,2046
60,594378.5,1669233.5,2046
61,594378.5,1669228.5,2046
62,594378.5,1669223.5,2040
63,594378.5,1669218.5,2040
64,594378.5,1669213.5,2040
65,594378.5,1669208.5,2034
66,594378.5,1669203.5,2034
67,594378.5,1669198.5,2034
68,594378.5,1669193.5,2028
69,594378.5,1669188.5,2028
70,594378.5,1669183.5,2028
71,594378.5,1669178.5,2023
72,594378.5,1669173.5,2023
73,594378.5,1669168.5,2023
74,594378.5,1669163.5,2019
75,594378.5,1669158.5,2019
76,594378.5,1669153.5,2019
77,594378.5,1669148.5,2013
78,594378.5,1669143.5,2013
